feedforward_error_probability,h,k,H1,V,E1,E_B,E_A,E_A_minus_E_B,E_B_over_E_A,phi,trace_final,initial_energy,post_alice_energy,post_noise_energy,noise_energy_delta,final_global_energy,survival_model,survival_x_column,survival_ratio,survives_positive,survives_half,readout_error_probability,noise_model,noise_strength,noise_qubit
0.0,1.0,0.5,0.18732040981336842,-0.25989318568658965,-0.07257277587322122,0.07257277587322122,0.8944271909999154,0.8218544151266942,0.0811388300841897,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8218544151266944,feedforward_error,feedforward_error_probability,1.0,True,True,,,,
0.01,1.0,0.5,0.18449198268862213,-0.25423633143709734,-0.06974434874847521,0.06974434874847521,0.8944271909999154,0.8246828422514402,0.07797655242402152,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8246828422514405,feedforward_error,feedforward_error_probability,0.9610263340389922,True,True,,,,
0.02,1.0,0.5,0.18166355556387598,-0.24857947718760492,-0.06691592162372895,0.06691592162372895,0.8944271909999154,0.8275112693761865,0.07481427476385305,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8275112693761866,feedforward_error,feedforward_error_probability,0.9220526680779808,True,True,,,,
0.03,1.0,0.5,0.17883512843912977,-0.2429226229381125,-0.06408749449898274,0.06408749449898274,0.8944271909999154,0.8303396965009326,0.07165199710368465,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.830339696500933,feedforward_error,feedforward_error_probability,0.8830790021169703,True,True,,,,
0.04,1.0,0.5,0.17600670131438356,-0.23726576868862004,-0.061259067374236476,0.061259067374236476,0.8944271909999154,0.8331681236256789,0.06848971944351619,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8331681236256792,feedforward_error,feedforward_error_probability,0.8441053361559591,True,True,,,,
0.05,1.0,0.5,0.1731782741896375,-0.2316089144391278,-0.058430640249490295,0.058430640249490295,0.8944271909999154,0.8359965507504251,0.06532744178334782,0.1608752771983211,1.0,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8359965507504252,feedforward_error,feedforward_error_probability,0.8051316701949489,True,True,,,,
0.06,1.0,0.5,0.17034984706489126,-0.22595206018963537,-0.055602213124744115,0.055602213124744115,0.8944271909999154,0.8388249778751713,0.06216516412317945,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8388249778751714,feedforward_error,feedforward_error_probability,0.7661580042339388,True,True,,,,
0.07,1.0,0.5,0.16752141994014502,-0.22029520594014296,-0.052773785999997935,0.052773785999997935,0.8944271909999154,0.8416534049999175,0.05900288646301108,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8416534049999175,feedforward_error,feedforward_error_probability,0.7271843382729286,True,True,,,,
0.08,1.0,0.5,0.1646929928153989,-0.2146383516906506,-0.0499453588752517,0.0499453588752517,0.8944271909999154,0.8444818321246637,0.055840608802842646,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8444818321246639,feedforward_error,feedforward_error_probability,0.6882106723119177,True,True,,,,
0.09,1.0,0.5,0.16186456569065266,-0.2089814974411583,-0.04711693175050563,0.04711693175050563,0.8944271909999154,0.8473102592494097,0.0526783311426744,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.84731025924941,feedforward_error,feedforward_error_probability,0.6492370063509091,True,True,,,,
0.1,1.0,0.5,0.15903613856590648,-0.2033246431916658,-0.04428850462575931,0.04428850462575931,0.8944271909999154,0.8501386863741561,0.04951605348250588,0.1608752771983211,1.0,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8501386863741562,feedforward_error,feedforward_error_probability,0.610263340389897,True,True,,,,
0.11,1.0,0.5,0.15620771144116025,-0.19766778894217368,-0.04146007750101344,0.04146007750101344,0.8944271909999154,0.852967113498902,0.04635377582233785,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8529671134989021,feedforward_error,feedforward_error_probability,0.5712896744288911,True,True,,,,
0.12,1.0,0.5,0.15337928431641407,-0.19201093469268127,-0.0386316503762672,0.0386316503762672,0.8944271909999154,0.8557955406236482,0.04319149816216942,0.1608752771983211,0.9999999999999997,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8557955406236484,feedforward_error,feedforward_error_probability,0.5323160084678802,True,True,,,,
0.13,1.0,0.5,0.15055085719166794,-0.18635408044318863,-0.03580322325152069,0.03580322325152069,0.8944271909999154,0.8586239677483947,0.040029220502000674,0.1608752771983211,1.0,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.858623967748395,feedforward_error,feedforward_error_probability,0.4933423425068655,True,False,,,,
0.14,1.0,0.5,0.1477224300669217,-0.18069722619369638,-0.032974796126774675,0.032974796126774675,0.8944271909999154,0.8614523948731407,0.03686694284183249,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.861452394873141,feedforward_error,feedforward_error_probability,0.4543686765458576,True,False,,,,
0.15,1.0,0.5,0.14489400294217553,-0.17504037194420408,-0.03014636900202855,0.03014636900202855,0.8944271909999154,0.8642808219978868,0.033704665181664185,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.864280821997887,feedforward_error,feedforward_error_probability,0.41539501058484823,True,False,,,,
0.16,1.0,0.5,0.14206557581742935,-0.16938351769471166,-0.027317941877282315,0.027317941877282315,0.8944271909999154,0.8671092491226331,0.030542387521495754,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8671092491226332,feedforward_error,feedforward_error_probability,0.37642134462383736,True,False,,,,
0.17,1.0,0.5,0.13923714869268317,-0.16372666344521908,-0.024489514752535912,0.024489514752535912,0.8944271909999154,0.8699376762473795,0.027380109861327134,0.1608752771983211,1.0,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8699376762473797,feedforward_error,feedforward_error_probability,0.33744767866282416,True,False,,,,
0.18,1.0,0.5,0.13640872156793693,-0.15806980919572683,-0.0216610876277899,0.0216610876277899,0.8944271909999154,0.8727661033721255,0.024217832201158952,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8727661033721258,feedforward_error,feedforward_error_probability,0.2984740127018163,True,False,,,,
0.19,1.0,0.5,0.13358029444319075,-0.15241295494623447,-0.01883266050304372,0.01883266050304372,0.8944271909999154,0.8755945304968717,0.021055554540990583,0.1608752771983211,1.0,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.875594530496872,feedforward_error,feedforward_error_probability,0.25950034674080613,True,False,,,,
0.2,1.0,0.5,0.13075186731844454,-0.14675610069674216,-0.016004233378297622,0.016004233378297622,0.8944271909999154,0.8784229576216178,0.017893276880822304,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8784229576216182,feedforward_error,feedforward_error_probability,0.22052668077979717,True,False,,,,
0.21,1.0,0.5,0.1279234401936984,-0.14109924644724972,-0.013175806253551331,0.013175806253551331,0.8944271909999154,0.8812513847463641,0.014730999220653811,0.1608752771983211,0.9999999999999998,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8812513847463642,feedforward_error,feedforward_error_probability,0.1815530148187855,True,False,,,,
0.22,1.0,0.5,0.1250950130689522,-0.13544239219775733,-0.010347379128805123,0.010347379128805123,0.8944271909999154,0.8840798118711103,0.01156872156048541,0.1608752771983211,0.9999999999999999,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8840798118711104,feedforward_error,feedforward_error_probability,0.14257934885777496,True,False,,,,
0.23,1.0,0.5,0.12226658594420597,-0.12978553794826483,-0.00751895200405886,0.00751895200405886,0.8944271909999154,0.8869082389958566,0.008406443900316947,0.1608752771983211,1.0,-9.109263393802676e-17,0.8944271909999154,0.8944271909999154,0.0,0.8869082389958569,feedforward_error,feedforward_error_probability,0.10360568289676368,True,False,,,,
