survival_model,x_column,h,k,h_over_k,x_min,x_max,baseline_E_B,min_E_B,min_survival_ratio,interval_mean_survival_ratio,lambda_ratio_cutoff,lambda_zero_crossing,first_sampled_nonpositive_x,ratio_cutoff,anchor_index,anchor_label
feedforward_error,feedforward_error_probability,1.0,0.25,4.0,0.0,1.0,0.026623676086396472,-0.07860305226653475,-2.9523741203679026,-0.9761870601839513,0.126506242772751,0.253012485545502,0.26,0.5,0,h1_k0p25
alice_bit_readout_error,readout_error_probability,1.0,0.25,4.0,0.0,1.0,0.026623676086396472,-0.07860305226653475,-2.9523741203679026,-0.9761870601839513,0.126506242772751,0.253012485545502,0.26,0.5,0,h1_k0p25
bob_dephasing,noise_strength,1.0,0.25,4.0,0.0,1.0,0.026623676086396472,-0.10490973435476762,-3.940467650459881,-1.4702338252299407,0.10120499421820077,0.20240998843640137,0.21,0.5,0,h1_k0p25
bob_depolarizing,noise_strength,1.0,0.25,4.0,0.0,1.0,0.026623676086396472,-1.4640883089134633,-54.991966705211986,-26.995983352605993,0.008929852431017711,0.017859704862035426,0.02,0.5,0,h1_k0p25
bob_amplitude_damping,noise_strength,1.0,0.25,4.0,0.0,1.0,0.026623676086396472,-2.176062601756779,-81.73411495449538,-39.95585507466604,0.006134811147117487,0.012269447715836816,0.02,0.5,0,h1_k0p25
feedforward_error,feedforward_error_probability,1.0,0.5,2.0,0.0,1.0,0.07257277587322122,-0.21026993660139753,-2.8973665961010244,-0.948683298050512,0.12829175487371547,0.2565835097474315,0.26,0.5,1,h1_k0p5
alice_bit_readout_error,readout_error_probability,1.0,0.5,2.0,0.0,1.0,0.07257277587322122,-0.21026993660139753,-2.8973665961010244,-0.948683298050512,0.12829175487371547,0.2565835097474315,0.26,0.5,1,h1_k0p5
bob_dephasing,noise_strength,1.0,0.5,2.0,0.0,1.0,0.07257277587322122,-0.49311264907601676,-6.794733192202056,-2.897366596101027,0.06414587743685785,0.12829175487371566,0.13,0.5,1,h1_k0p5
bob_depolarizing,noise_strength,1.0,0.5,2.0,0.0,1.0,0.07257277587322122,-1.8130453072909045,-24.98244397400684,-11.99122198700342,0.019243763231057337,0.03848752646211471,0.04,0.5,1,h1_k0p5
bob_amplitude_damping,noise_strength,1.0,0.5,2.0,0.0,1.0,0.07257277587322122,-2.6065518505672247,-35.91638626474286,-16.80942600284309,0.014295692050137095,0.02858609139645247,0.03,0.5,1,h1_k0p5
feedforward_error,feedforward_error_probability,1.0,1.0,1.0,0.0,1.0,0.11474763394014748,-0.33246596155981023,-2.8973665961010138,-0.9486832980505074,0.128291754873716,0.2565835097474315,0.26,0.5,2,h1_k1
alice_bit_readout_error,readout_error_probability,1.0,1.0,1.0,0.0,1.0,0.11474763394014748,-0.33246596155981023,-2.8973665961010138,-0.9486832980505074,0.128291754873716,0.2565835097474315,0.26,0.5,2,h1_k1
bob_dephasing,noise_strength,1.0,1.0,1.0,0.0,1.0,0.11474763394014748,-2.121320343559643,-18.486832980505085,-8.743416490252542,0.025658350974743133,0.0513167019494863,0.06,0.5,2,h1_k1
bob_depolarizing,noise_strength,1.0,1.0,1.0,0.0,1.0,0.11474763394014748,-2.866676336059572,-24.98244397400677,-11.991221987003389,0.019243763231057226,0.03848752646211467,0.04,0.5,2,h1_k1
bob_amplitude_damping,noise_strength,1.0,1.0,1.0,0.0,1.0,0.11474763394014748,-3.702459173643832,-32.266104724869884,-14.011134538614098,0.01759490862921595,0.035163097823455176,0.04,0.5,2,h1_k1
feedforward_error,feedforward_error_probability,0.5,1.0,0.5,0.0,1.0,0.04909163305901948,-0.14493686697004676,-2.9523741203679084,-0.9761870601839518,0.12650624277275133,0.25301248554550265,0.26,0.5,3,h0p5_k1
alice_bit_readout_error,readout_error_probability,0.5,1.0,0.5,0.0,1.0,0.04909163305901948,-0.14493686697004676,-2.9523741203679084,-0.9761870601839518,0.12650624277275133,0.25301248554550265,0.26,0.5,3,h0p5_k1
bob_dephasing,noise_strength,0.5,1.0,0.5,0.0,1.0,0.04909163305901948,-3.2493928674351085,-66.19036004625448,-32.595180023127234,0.007441543692514799,0.014883087385029532,0.02,0.5,3,h0p5_k1
bob_depolarizing,noise_strength,0.5,1.0,0.5,0.0,1.0,0.04909163305901948,-2.699645450686086,-54.99196670521204,-26.99598335260603,0.00892985243101761,0.017859704862035468,0.02,0.5,3,h0p5_k1
bob_amplitude_damping,noise_strength,0.5,1.0,0.5,0.0,1.0,0.04909163305901948,-2.9344156254790983,-59.7742515909229,-23.794773120350897,0.011356138917389434,0.02268766905515169,0.03,0.5,3,h0p5_k1
